pair_id,doc_id,title_original,title_flipped
1,HP00069,Woman who saved family from Ebola coming to U.S. - CNN.com,Man who saved family from Ebola coming to U.S. - CNN.com
2,HP00919,"Man coerced boys to perform sex acts via Internet video, FBI says - CNN.com","Woman coerced boys to perform sex acts via Internet video, FBI says - CNN.com"
3,HP01278,Woman dies of bird flu in China - CNN.com,Man dies of bird flu in China - CNN.com
4,HP01345,Woman in acid hoax pleads not guilty to theft - CNN.com,Man in acid hoax pleads not guilty to theft - CNN.com
5,HP01609,Woman knocks down pope at Mass; Christmas celebrations begin - CNN.com,Man knocks down pope at Mass; Christmas celebrations begin - CNN.com
6,HP01896,"Woman checks old lottery ticket, wins $10 million - CNN.com","Man checks old lottery ticket, wins $10 million - CNN.com"
7,HP01962,Woman dies after ray strikes her - CNN.com,Man dies after ray strikes him - CNN.com
8,HP02020,Man swallowed live goldfish in McDonald's for #neknominate,Woman swallowed live goldfish in McDonald's for #neknominate
9,HP02066,Woman contracts THE PLAGUE after being bitten by choking stray cat that she tried to save,Man contracts THE PLAGUE after being bitten by choking stray cat that he tried to save
10,HP02089,"Woman, 22, survives being run over by THREE Manhattan subway trains","Man, 22, survives being run over by THREE Manhattan subway trains"
11,HP02180,Man sprayed manure through letterbox in grudge over dog fouling,Woman sprayed manure through letterbox in grudge over dog fouling
12,HP02201,Man reunited with class ring he lost out of car window 41 YEARS ago after finding it on Facebook,Woman reunited with class ring she lost out of car window 41 YEARS ago after finding it on Facebook
13,HP02297,Girl performs less optimistic rendition of hit Pharrell track,Boy performs less optimistic rendition of hit Pharrell track
14,HP02298,Woman jailed for life in white supremacist killing spree,Man jailed for life in white supremacist killing spree
15,HP02359,Man claims he died twice for a couple of minutes,Woman claims she died twice for a couple of minutes
16,HP02371,Woman snatches baby from maternity unit at hospital,Man snatches baby from maternity unit at hospital
17,HP02513,"Boy, 14, sobs in court as he's sentenced to life in prison for killing his great grandmother with a hatchet","Girl, 14, sobs in court as she's sentenced to life in prison for killing her great grandmother with a hatchet"
18,HP02545,Female scientist shares the sexist comments she gets on a daily basis,Male scientist shares the sexist comments he gets on a daily basis
19,HP02623,Woman locates couple whose wedding photo she found in 9/11 rubble,Man locates couple whose wedding photo he found in 9/11 rubble
20,HP02745,Man DECAPITATES himself with toy helicopter,Woman DECAPITATES herself with toy helicopter
21,HP02812,Woman bit into Wensleydale from Sainsbury's and discovered a TOOTH,Man bit into Wensleydale from Sainsbury's and discovered a TOOTH
22,HP02884,Woman reunited with cat 13 years after it went missing,Man reunited with cat 13 years after it went missing
23,HP02941,Woman dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases,Man dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases
24,HP02954,Man whose nap during Yankees game sues ESPN for $10M,Woman whose nap during Yankees game sues ESPN for $10M
25,HP03003,Man had to be rescued after jumping into river in ice bucket challenge,Woman had to be rescued after jumping into river in ice bucket challenge
26,HP03021,Man takes his first steps after he was told he would never walk again,Woman takes her first steps after she was told she would never walk again
27,HP03099,Man grows world's largest cauliflower,Woman grows world's largest cauliflower
28,HP03124,Woman who was given up for adoption meets sisters thanks to Facebook,Man who was given up for adoption meets sisters thanks to Facebook
29,HP03149,Man jailed after attempt to pay taxes with tightly folded dollar bills,Woman jailed after attempt to pay taxes with tightly folded dollar bills
30,HP03157,Man in jail on pot charges allowed to leave jail to smoke marijuana,Woman in jail on pot charges allowed to leave jail to smoke marijuana
31,HP03226,Girl who suffered brain injury at birth wins £10million damages,Boy who suffered brain injury at birth wins £10million damages
32,HP03389,Man dies in train accident and three are hurt by flying body parts,Woman dies in train accident and three are hurt by flying body parts
33,HP03392,"Girl, 7, beats leukaemia with revolutionary treatment using HIV to re-wire her immune system","Boy, 7, beats leukaemia with revolutionary treatment using HIV to re-wire his immune system"
34,HP03437,Woman drops SIX dress sizes after seeing snaps from big day,Man drops SIX dress sizes after seeing snaps from big day
35,HP03453,"Woman trying to smuggle $64,000 of cocaine arrested by authorities","Man trying to smuggle $64,000 of cocaine arrested by authorities"
36,HP03476,Woman who lost hands and legs to septic shock speaks out,Man who lost hands and legs to septic shock speaks out
37,HP03533,Boy hit by lightning in August leaves hospital in time for Christmas,Girl hit by lightning in August leaves hospital in time for Christmas
38,HP03667,Man spends 15 years turning his home into a 300ft sprawling wonderland for his four cats complete with secret passageways and a garden of catnip,Woman spends 15 years turning her home into a 300ft sprawling wonderland for her four cats complete with secret passageways and a garden of catnip
39,HP03802,Female stunt driver plays 'dumb blonde' to blind dates,Male stunt driver plays 'dumb blonde' to blind dates
40,HP03826,Boy aged just NINE walks through airport security and flies to Vegas,Girl aged just NINE walks through airport security and flies to Vegas
41,HP03859,"Man jailed for phoning and texting his ex 22,000 times in 10 months","Woman jailed for phoning and texting her ex 22,000 times in 10 months"
42,HP03873,Female teacher imprisoned for having sex with 15-year-old student,Male teacher imprisoned for having sex with 15-year-old student
43,HP03929,Girl burnt from the inside out after reacting to penicillin,Boy burnt from the inside out after reacting to penicillin
