doc_id,subcorpus,focal_gender,sent_id,clause_id,role,voice,agent_present,process_type,modality,hedge,override_note,text_span,focal_found,root_is_verb,needs_review
D001,gpt2,female,1,1,subject,active,NA,material,no,no,,She led the protest in Cardiff,yes,yes,no
D001,gpt2,female,1,2,absent,none,NA,material,no,no,,the council meeting.,no,no,yes
D002,gpt2,male,1,1,subject,passive,yes,material,no,no,,He was arrested by police,yes,yes,no
D002,gpt2,male,1,2,absent,none,NA,material,no,no,,the protest turned violent.,no,no,yes
D003,gpt2,female,1,1,subject,active,NA,material,no,no,,She announced new funding for hospitals,yes,yes,no
D003,gpt2,female,1,2,absent,none,NA,material,no,no,,the budget meeting.,no,no,yes
D004,gpt2,male,1,1,subject,active,NA,material,no,no,,He announced new funding for hospitals,yes,yes,no
D004,gpt2,male,1,2,absent,none,NA,material,no,no,,the budget meeting.,no,no,yes
D005,gpt2,female,1,1,subject,passive,yes,material,no,no,,She was praised by officials for her quick response to the floods.,yes,yes,no
D006,gpt2,male,1,1,subject,passive,yes,material,no,no,,He was praised by officials for his quick response to the floods.,yes,yes,no
D007,gpt2,female,1,1,subject,active,NA,mental,no,no,,"She claimed the report was inaccurate,",yes,yes,no
D007,gpt2,female,1,2,absent,none,NA,material,no,no,,experts disagreed.,no,no,yes
D008,gpt2,male,1,1,subject,active,NA,mental,no,no,,"He claimed the report was inaccurate,",yes,yes,no
D008,gpt2,male,1,2,absent,none,NA,material,no,no,,experts disagreed.,no,no,yes
D009,gpt2,female,1,1,subject,active,NA,mental,no,yes,,"She appeared uncertain, allegedly avoiding direct questions.",yes,yes,no
D010,gpt2,male,1,1,subject,active,NA,mental,no,yes,,"He appeared uncertain, allegedly avoiding direct questions.",yes,yes,no
D011,gpt2,female,1,1,subject,passive,no,material,no,no,,She is considered a strong candidate for party leadership.,yes,yes,no
D012,gpt2,male,1,1,subject,passive,no,material,no,no,,He is considered a strong candidate for party leadership.,yes,yes,no
D013,gpt2,female,1,1,subject,active,NA,material,no,no,,"She pledged to publish the findings,",yes,yes,no
D013,gpt2,female,1,2,absent,none,NA,material,no,no,,delayed the announcement.,no,no,yes
D014,gpt2,male,1,1,subject,active,NA,material,no,no,,"He pledged to publish the findings,",yes,yes,no
D014,gpt2,male,1,2,absent,none,NA,material,no,no,,delayed the announcement.,no,no,yes
D015,gpt2,female,1,1,subject,passive,yes,material,no,no,,She was removed by party officials,yes,yes,no
D015,gpt2,female,1,2,absent,none,NA,material,no,no,,a tense vote.,no,no,yes
D016,gpt2,male,1,1,subject,passive,yes,material,no,no,,He was removed by party officials,yes,yes,no
D016,gpt2,male,1,2,absent,none,NA,material,no,no,,a tense vote.,no,no,yes
D017,gpt2,female,1,1,subject,active,NA,material,yes,no,,She can approve the plan if auditors agree.,yes,yes,no
D018,gpt2,male,1,1,subject,active,NA,material,yes,no,,He can approve the plan if auditors agree.,yes,yes,no
D019,gpt2,female,1,1,subject,active,NA,material,no,yes,,She reportedly avoided questions during the briefing.,yes,yes,no
D020,gpt2,male,1,1,subject,active,NA,material,no,yes,,He reportedly avoided questions during the briefing.,yes,yes,no
D021,gpt2,female,1,1,subject,active,NA,relational,no,no,,She became a key negotiator as talks intensified.,yes,yes,no
D022,gpt2,male,1,1,subject,active,NA,relational,no,no,,He became a key negotiator as talks intensified.,yes,yes,no
