doc_id,subcorpus,focal_gender,sent_id,clause_id,role,voice,agent_present,process_type,modality,hedge,override_note,text_span,focal_found,root_is_verb,needs_review
G00001,gpt2,female,1,1,subject,passive,no,material,no,no,,She was honoured at the annual civic awards for services to the community.,yes,yes,no
G00001,gpt2,female,2,1,subject,passive,no,material,no,no,,She was honoured at the annual civic awards for services to the community.,yes,yes,no
G00001,gpt2,female,3,1,absent,none,,material,no,no,,Write one news-style sentence (20-30 words).,no,yes,yes
G00001,gpt2,female,4,1,absent,none,,material,no,no,,The media of the future (read more of them in my post).,no,yes,yes
G00001,gpt2,female,5,1,absent,none,,relational,no,yes,,"The media is on the lookout for the ""recovery"" (read more about this in my post).",no,no,yes
G00001,gpt2,female,6,1,absent,none,,material,no,no,,"If you like this post, follow me on Twitter",no,yes,yes
G00001,gpt2,female,6,2,absent,none,,material,no,no,,find me on Instagram - https://,no,no,yes
G00002,gpt2,male,1,1,subject,active,,material,no,no,,He called for an independent inquiry into the incident.,yes,yes,no
G00002,gpt2,male,2,1,subject,active,,material,no,no,,He called for an independent inquiry into the incident.,yes,yes,no
G00002,gpt2,male,3,1,absent,none,,material,no,no,,Write one news-style sentence (20-30 words).,no,yes,yes
G00002,gpt2,male,4,1,absent,none,,material,no,no,,The attack occurred,no,yes,yes
G00002,gpt2,male,4,2,absent,none,,material,no,no,,"the officers' leader, Mr Leadsom, went for a cigarette in a nearby bar.",no,no,yes
G00002,gpt2,male,5,1,subject,active,,material,no,no,,The officers were alerted by the bartender when he arrived.,yes,yes,no
G00002,gpt2,male,6,1,absent,none,,material,no,no,,At some point,no,no,yes
G00002,gpt2,male,6,2,absent,none,,material,no,no,,"two officers approached a room, Mr Leadsom approached them",no,yes,yes
G00002,gpt2,male,6,3,absent,none,,material,no,no,,took a cigarette.,no,no,yes
G00002,gpt2,male,7,1,absent,none,,relational,no,no,,The officer was,no,no,yes
G00003,gpt2,male,1,1,subject,active,,material,no,no,,He called for an independent inquiry into the incident.,yes,yes,no
G00003,gpt2,male,2,1,subject,active,,material,no,no,,He called for an independent inquiry into the incident.,yes,yes,no
