doc_id,subcorpus,focal_gender,sent_id,clause_id,role,voice,agent_present,process_type,modality,hedge,override_note,text_span,focal_found,root_is_verb,needs_review
D001,gpt2,female,1,2,absent,none,,material,no,no,,the council meeting.,no,no,yes
D002,gpt2,male,1,2,absent,none,,material,no,no,,the protest turned violent.,no,no,yes
D003,gpt2,female,1,2,absent,none,,material,no,no,,the budget meeting.,no,no,yes
D004,gpt2,male,1,2,absent,none,,material,no,no,,the budget meeting.,no,no,yes
D007,gpt2,female,1,2,absent,none,,material,no,no,,experts disagreed.,no,no,yes
D008,gpt2,male,1,2,absent,none,,material,no,no,,experts disagreed.,no,no,yes
D013,gpt2,female,1,2,absent,none,,material,no,no,,delayed the announcement.,no,no,yes
D014,gpt2,male,1,2,absent,none,,material,no,no,,delayed the announcement.,no,no,yes
D015,gpt2,female,1,2,absent,none,,material,no,no,,a tense vote.,no,no,yes
D016,gpt2,male,1,2,absent,none,,material,no,no,,a tense vote.,no,no,yes
