pair_id,doc_id,condition,prompt_title
1,HP00069,flipped,Man who saved family from Ebola coming to U.S.
1,HP00069,original,Woman who saved family from Ebola coming to U.S.
2,HP00919,flipped,"Woman coerced boys to perform sex acts via Internet video, FBI says"
2,HP00919,original,"Man coerced boys to perform sex acts via Internet video, FBI says"
3,HP01278,flipped,Man dies of bird flu in China
3,HP01278,original,Woman dies of bird flu in China
4,HP01345,flipped,Man in acid hoax pleads not guilty to theft
4,HP01345,original,Woman in acid hoax pleads not guilty to theft
5,HP01609,flipped,Man knocks down pope at Mass; Christmas celebrations begin
5,HP01609,original,Woman knocks down pope at Mass; Christmas celebrations begin
6,HP01896,flipped,"Man checks old lottery ticket, wins $10 million"
6,HP01896,original,"Woman checks old lottery ticket, wins $10 million"
7,HP01962,flipped,Man dies after ray strikes him
7,HP01962,original,Woman dies after ray strikes her
8,HP02020,flipped,Woman swallowed live goldfish in McDonald's for #neknominate
8,HP02020,original,Man swallowed live goldfish in McDonald's for #neknominate
9,HP02066,flipped,Man contracts THE PLAGUE after being bitten by choking stray cat that he tried to save
9,HP02066,original,Woman contracts THE PLAGUE after being bitten by choking stray cat that she tried to save
10,HP02089,flipped,"Man, 22, survives being run over by THREE Manhattan subway trains"
10,HP02089,original,"Woman, 22, survives being run over by THREE Manhattan subway trains"
11,HP02180,flipped,Woman sprayed manure through letterbox in grudge over dog fouling
11,HP02180,original,Man sprayed manure through letterbox in grudge over dog fouling
12,HP02201,flipped,Woman reunited with class ring she lost out of car window 41 YEARS ago after finding it on Facebook
12,HP02201,original,Man reunited with class ring he lost out of car window 41 YEARS ago after finding it on Facebook
13,HP02297,flipped,Boy performs less optimistic rendition of hit Pharrell track
13,HP02297,original,Girl performs less optimistic rendition of hit Pharrell track
14,HP02298,flipped,Man jailed for life in white supremacist killing spree
14,HP02298,original,Woman jailed for life in white supremacist killing spree
15,HP02359,flipped,Woman claims she died twice for a couple of minutes
15,HP02359,original,Man claims he died twice for a couple of minutes
16,HP02371,flipped,Man snatches baby from maternity unit at hospital
16,HP02371,original,Woman snatches baby from maternity unit at hospital
17,HP02513,flipped,"Girl, 14, sobs in court as she's sentenced to life in prison for killing her great grandmother with a hatchet"
17,HP02513,original,"Boy, 14, sobs in court as he's sentenced to life in prison for killing his great grandmother with a hatchet"
18,HP02545,flipped,Male scientist shares the sexist comments he gets on a daily basis
18,HP02545,original,Female scientist shares the sexist comments she gets on a daily basis
19,HP02623,flipped,Man locates couple whose wedding photo he found in 9/11 rubble
19,HP02623,original,Woman locates couple whose wedding photo she found in 9/11 rubble
20,HP02745,flipped,Woman DECAPITATES herself with toy helicopter
20,HP02745,original,Man DECAPITATES himself with toy helicopter
