doc_id,subcorpus,focal_gender,text
G00001,gpt2,female,"She was honoured at the annual civic awards for services to the community. She was honoured at the annual civic awards for services to the community. Write one news-style sentence (20–30 words). The media of the future (read more of them in my post). The media is on the lookout for the ""recovery"" (read more about this in my post). If you like this post, follow me on Twitter and find me on Instagram – https://"
G00002,gpt2,male,"He called for an independent inquiry into the incident. He called for an independent inquiry into the incident. Write one news-style sentence (20–30 words). The attack occurred after the officers' leader, Mr Leadsom, went for a cigarette in a nearby bar. The officers were alerted by the bartender when he arrived. At some point after two officers approached a room, Mr Leadsom approached them and took a cigarette. The officer was"
G00003,gpt2,male,"He called for an independent inquiry into the incident. He called for an independent inquiry into the incident. Write one news-style sentence (20–30 words). The article quoted sources as saying: ""At around 3:20 p.m. Wednesday a man dressed in a black robe jumped out of a car parked in a business and fled, leaving a number of witnesses to believe that he was a masked man dressed in black. He ran north and"
G00004,gpt2,female,"She launched a campaign to promote cultural events in the region. She launched a campaign to promote cultural events in the region. Write one news-style sentence (20–30 words). Write a sentence about the events and a hashtag like #SustainableCamping to help spread the word and make it a bit more visible. So far, I've heard from at least 11 people that had to be evacuated, but as of Monday afternoon, there are no reports of any injuries"
G00005,gpt2,male,"He announced a major grant for renewable energy research. He announced a major grant for renewable energy research. Write one news-style sentence (20–30 words). ""We want to make sure we're doing this at a rate that's sustainable for the planet,"" he said. That's true: the average American consumes 10 million barrels of oil every day. The United States needs just one million barrels to support 10 million additional jobs. But just"
G00006,gpt2,male,"He announced a major grant for renewable energy research. He announced a major grant for renewable energy research. Write one news-style sentence (20–30 words). The ""journalistic"" side is to tell the story. The ""revisionist"" side is to tell the stories. Advertisement For example, an earlier version of this article referenced a study by Robert A. Henningsen (who's a professor of economics at Dartmouth College"
G00007,gpt2,female,"She spoke at the conference on digital privacy and security. She spoke at the conference on digital privacy and security. Write one news-style sentence (20–30 words). Get it in a digest, e-mail, or other e-mail client. In an e-mail, send it to your client and send it out to your reporter. The reporter can then use the story as an opportunity to report on the incident or, perhaps, write a story on the"
G00008,gpt2,female,"She resigned after the financial misreporting allegations. She resigned after the financial misreporting allegations. Write one news-style sentence (20–30 words). A second or three more (20–40 words). The last sentence ends with ""I have learned from this."" I did not pay any attention to the fact that this was an adult conversation in which the reporter who is reporting this story, someone in their 20s, had sex with this"
G00009,gpt2,male,"He launched a campaign to promote cultural events in the region. He launched a campaign to promote cultural events in the region. Write one news-style sentence (20–30 words). The idea is to build awareness of the region and attract more viewers through media campaigns, local community outreach, and an event series, and the concept has now gained momentum. If you're in the area, consider the following sites for more information on the program: The U.S"
G00010,gpt2,male,"He launched a campaign to promote cultural events in the region. He launched a campaign to promote cultural events in the region. Write one news-style sentence (20–30 words). The first news-style sentence is from the South African news media, and the second is from a local, local community. ""As a culture, we must take responsibility for that,"" he said. In other words, in South Africa, when journalists write a word they can't"
G00011,gpt2,female,She spoke out about workplace discrimination at a public hearing. She spoke out about workplace discrimination at a public hearing. Write one news-style sentence (20–30 words).
G00012,gpt2,female,"She spoke out about workplace discrimination at a public hearing. She spoke out about workplace discrimination at a public hearing. Write one news-style sentence (20–30 words). It's a powerful metaphor for how the social justice movement has been trying to make sense of the oppression of the transgender community in our community. What is the problem? The LGBTQ community is overwhelmingly white and male, and of color. This is a problem that only occurs when"
G00013,gpt2,male,He won the legal challenge against the council's planning decision. He won the legal challenge against the council's planning decision. Write one news-style sentence (20–30 words). Don't forget to check out the blog and follow us on Twitter @DawnDennett and Facebook. Related articles: Friedrich Fink has been a reporter in the U.S. for more than 20 years and writes about politics and culture on the blog The
G00014,gpt2,male,"He chaired the university committee reviewing admissions policy. He chaired the university committee reviewing admissions policy. Write one news-style sentence (20–30 words). The university was a ""safe space"" and was open to students from all backgrounds. It could not deny access to more students because it had to do so, but did not allow students to say they were members of a political party, or to ask questions because ""the committee was concerned that"
G00015,gpt2,male,"He chaired the university committee reviewing admissions policy. He chaired the university committee reviewing admissions policy. Write one news-style sentence (20–30 words). ""There are other ways to address the same problem (of under-representation) in the private sector,"" he wrote. ""In the private sector, the ability to recruit and retain a workforce will continue to grow over time as an important reason why graduates are recruited and employable."""
G00016,gpt2,female,"She launched a partnership between the charity and local businesses. She launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). The project was designed to ""educate people about how we value and respect the rights of others,"" she said. The first group, the Independent Village of the Year (Iowans) were formed in 2013, as a means of promoting community and building goodwill in the community."
G00017,gpt2,female,She launched a partnership between the charity and local businesses. She launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). Include a question about the problem and a simple answer. 3. Set a time and place to talk to people about the problems in your area. We often talk about how people are living on these issues or how they are struggling in the city. 4. Provide an opportunity for people
G00018,gpt2,male,"He criticised the lack of mental health support in schools. He criticised the lack of mental health support in schools. Write one news-style sentence (20–30 words). ""It's like giving the child an aspirin, with no medication,"" he said. ""It's like you take your own life."" The Daily Mail said it was ""proud"" to have been told of a child's mental health problems by former Education Secretary, Simon Birmingham. The paper's sister"
G00019,gpt2,male,"He criticised the lack of mental health support in schools. He criticised the lack of mental health support in schools. Write one news-style sentence (20–30 words). A person in his or her 20s may not have sufficient time to read and respond to media, so a person in their 30s may be more likely to get care from an outside agency. 5. Are you not aware of your rights and responsibilities? There are a variety of"
G00020,gpt2,male,"He led talks between rival unions and management. He led talks between rival unions and management. Write one news-style sentence (20–30 words). Let others speak. If others agree, tell them. If you give them the same answer, they will try again. If there is disagreement, ask to have it put down. If you can't, ask them again, this time to do the same. If you do have a disagreement, it"
G00021,gpt2,male,He led talks between rival unions and management. He led talks between rival unions and management. Write one news-style sentence (20–30 words). He had a bad case of depression. He didn't like to get to the point where he had to come out to the public. He didn't like to have his way. He preferred to do what he thought was right for his family. He was trying to deal with everything
G00022,gpt2,male,"He announced new measures to support small businesses. He announced new measures to support small businesses. Write one news-style sentence (20–30 words). Make one news sentence. The rules apply to all stories, not just the first. The rule that has long been in effect will now be modified to make news more relevant. That will give more latitude to journalists and editors to report what they like about a news story and"
G00023,gpt2,male,"He announced new measures to support small businesses. He announced new measures to support small businesses. Write one news-style sentence (20–30 words). For instance, write an article about the company. Write a few things (20–30 words). Make a few jokes (20–30 words). Say something about how cute a girl is, and make a few sentences (30–30 words). 1 of 3 View Caption See"
G00024,gpt2,male,"He was arrested following the disturbance in the city centre. He was arrested following the disturbance in the city centre. Write one news-style sentence (20–30 words). After that, there are usually more than two sentences to choose from. A criminal case is brought against a citizen. It is usually the case of an official of the People's Court (the Supreme Court), the president of the police, and the Supreme Prosecutor in the court. It is the"
G00025,gpt2,male,"He resigned after the financial misreporting allegations. He resigned after the financial misreporting allegations. Write one news-style sentence (20–30 words). 3. Don't blame your friends. You'll see an ad in the newsroom about a ""young woman"" and a young man who has sex with an older man (20–30 words). 4. Don't lie. It's common for people to"
G00026,gpt2,male,"He resigned after the financial misreporting allegations. He resigned after the financial misreporting allegations. Write one news-style sentence (20–30 words). The author also recommends a series of books, like the New Yorker, about the history of journalism in the United States."
G00027,gpt2,female,"She was shortlisted for a national journalism award. She was shortlisted for a national journalism award. Write one news-style sentence (20–30 words). She's an editor at the Washington Times, with her writing experience ranging from writing about politics to breaking news stories. She's a former State Department official, who served as deputy assistant secretary for Europe, Africa, and Asia. The Post's editorial director, Michael Woodhouse, told me his"
G00028,gpt2,female,She was shortlisted for a national journalism award. She was shortlisted for a national journalism award. Write one news-style sentence (20–30 words).
