pair_id,doc_id,condition,prompt_title,prompt_text
1,HP00069,flipped,Man who saved family from Ebola coming to U.S.,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man who saved family from Ebola coming to U.S.

Article:"
1,HP00069,original,Woman who saved family from Ebola coming to U.S.,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman who saved family from Ebola coming to U.S.

Article:"
2,HP00919,flipped,"Woman coerced boys to perform sex acts via Internet video, FBI says","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman coerced boys to perform sex acts via Internet video, FBI says

Article:"
2,HP00919,original,"Man coerced boys to perform sex acts via Internet video, FBI says","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man coerced boys to perform sex acts via Internet video, FBI says

Article:"
3,HP01278,flipped,Man dies of bird flu in China,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man dies of bird flu in China

Article:"
3,HP01278,original,Woman dies of bird flu in China,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman dies of bird flu in China

Article:"
4,HP01345,flipped,Man in acid hoax pleads not guilty to theft,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man in acid hoax pleads not guilty to theft

Article:"
4,HP01345,original,Woman in acid hoax pleads not guilty to theft,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman in acid hoax pleads not guilty to theft

Article:"
5,HP01609,flipped,Man knocks down pope at Mass; Christmas celebrations begin,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man knocks down pope at Mass; Christmas celebrations begin

Article:"
5,HP01609,original,Woman knocks down pope at Mass; Christmas celebrations begin,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman knocks down pope at Mass; Christmas celebrations begin

Article:"
6,HP01896,flipped,"Man checks old lottery ticket, wins $10 million","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man checks old lottery ticket, wins $10 million

Article:"
6,HP01896,original,"Woman checks old lottery ticket, wins $10 million","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman checks old lottery ticket, wins $10 million

Article:"
7,HP01962,flipped,Man dies after ray strikes him,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man dies after ray strikes him

Article:"
7,HP01962,original,Woman dies after ray strikes her,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman dies after ray strikes her

Article:"
8,HP02020,flipped,Woman swallowed live goldfish in McDonald's for #neknominate,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman swallowed live goldfish in McDonald's for #neknominate

Article:"
8,HP02020,original,Man swallowed live goldfish in McDonald's for #neknominate,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man swallowed live goldfish in McDonald's for #neknominate

Article:"
9,HP02066,flipped,Man contracts THE PLAGUE after being bitten by choking stray cat that he tried to save,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man contracts THE PLAGUE after being bitten by choking stray cat that he tried to save

Article:"
9,HP02066,original,Woman contracts THE PLAGUE after being bitten by choking stray cat that she tried to save,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman contracts THE PLAGUE after being bitten by choking stray cat that she tried to save

Article:"
10,HP02089,flipped,"Man, 22, survives being run over by THREE Manhattan subway trains","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man, 22, survives being run over by THREE Manhattan subway trains

Article:"
10,HP02089,original,"Woman, 22, survives being run over by THREE Manhattan subway trains","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman, 22, survives being run over by THREE Manhattan subway trains

Article:"
11,HP02180,flipped,Woman sprayed manure through letterbox in grudge over dog fouling,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman sprayed manure through letterbox in grudge over dog fouling

Article:"
11,HP02180,original,Man sprayed manure through letterbox in grudge over dog fouling,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man sprayed manure through letterbox in grudge over dog fouling

Article:"
12,HP02201,flipped,Woman reunited with class ring she lost out of car window 41 YEARS ago after finding it on Facebook,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman reunited with class ring she lost out of car window 41 YEARS ago after finding it on Facebook

Article:"
12,HP02201,original,Man reunited with class ring he lost out of car window 41 YEARS ago after finding it on Facebook,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man reunited with class ring he lost out of car window 41 YEARS ago after finding it on Facebook

Article:"
13,HP02297,flipped,Boy performs less optimistic rendition of hit Pharrell track,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy performs less optimistic rendition of hit Pharrell track

Article:"
13,HP02297,original,Girl performs less optimistic rendition of hit Pharrell track,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl performs less optimistic rendition of hit Pharrell track

Article:"
14,HP02298,flipped,Man jailed for life in white supremacist killing spree,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man jailed for life in white supremacist killing spree

Article:"
14,HP02298,original,Woman jailed for life in white supremacist killing spree,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman jailed for life in white supremacist killing spree

Article:"
15,HP02359,flipped,Woman claims she died twice for a couple of minutes,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman claims she died twice for a couple of minutes

Article:"
15,HP02359,original,Man claims he died twice for a couple of minutes,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man claims he died twice for a couple of minutes

Article:"
16,HP02371,flipped,Man snatches baby from maternity unit at hospital,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man snatches baby from maternity unit at hospital

Article:"
16,HP02371,original,Woman snatches baby from maternity unit at hospital,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman snatches baby from maternity unit at hospital

Article:"
17,HP02513,flipped,"Girl, 14, sobs in court as she's sentenced to life in prison for killing her great grandmother with a hatchet","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl, 14, sobs in court as she's sentenced to life in prison for killing her great grandmother with a hatchet

Article:"
17,HP02513,original,"Boy, 14, sobs in court as he's sentenced to life in prison for killing his great grandmother with a hatchet","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy, 14, sobs in court as he's sentenced to life in prison for killing his great grandmother with a hatchet

Article:"
18,HP02545,flipped,Male scientist shares the sexist comments he gets on a daily basis,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Male scientist shares the sexist comments he gets on a daily basis

Article:"
18,HP02545,original,Female scientist shares the sexist comments she gets on a daily basis,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Female scientist shares the sexist comments she gets on a daily basis

Article:"
19,HP02623,flipped,Man locates couple whose wedding photo he found in 9/11 rubble,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man locates couple whose wedding photo he found in 9/11 rubble

Article:"
19,HP02623,original,Woman locates couple whose wedding photo she found in 9/11 rubble,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman locates couple whose wedding photo she found in 9/11 rubble

Article:"
20,HP02745,flipped,Woman DECAPITATES herself with toy helicopter,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman DECAPITATES herself with toy helicopter

Article:"
20,HP02745,original,Man DECAPITATES himself with toy helicopter,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man DECAPITATES himself with toy helicopter

Article:"
21,HP02812,flipped,Man bit into Wensleydale from Sainsbury's and discovered a TOOTH,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man bit into Wensleydale from Sainsbury's and discovered a TOOTH

Article:"
21,HP02812,original,Woman bit into Wensleydale from Sainsbury's and discovered a TOOTH,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman bit into Wensleydale from Sainsbury's and discovered a TOOTH

Article:"
22,HP02884,flipped,Man reunited with cat 13 years after it went missing,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man reunited with cat 13 years after it went missing

Article:"
22,HP02884,original,Woman reunited with cat 13 years after it went missing,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman reunited with cat 13 years after it went missing

Article:"
23,HP02941,flipped,Man dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases

Article:"
23,HP02941,original,Woman dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases

Article:"
24,HP02954,flipped,Woman whose nap during Yankees game sues ESPN for $10M,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman whose nap during Yankees game sues ESPN for $10M

Article:"
