doc_id,subcorpus,focal_gender,text
H00331,human,male,"""I saw them in one of the last games under Felix Magath, (a 1-0 defeat) at home to Wolves, and at that time they were struggling, there was no mentality, nothing in the team,"" he said."
H00066,human,female,"A spokesman said if the doll thinks she has heard a swear word, or anything related to race or body parts, any internet searches are automatically shut down."
H00345,human,male,He says councils are being forced to earmark more and more land for housing or risk falling foul of the development presumption that leaves them little power to block projects they think excessive.
H00286,human,male,"President Obama's statement reiterates one he made earlier this week, when he urged Scottish voters not to break apart ‘one of the closest allies we’ll ever have’ by voting for independence on Thursday."
H00181,human,female,"The agency, she said, has tried for 20 years to have more oversight of compounding pharmacies but has faced challenges by the industry."
H00301,human,male,"‘I will have to work two to four hours a day,’ he said. ’I am not sure when it starts but I will report to the local penal service authority later today."
H00163,human,female,"It did not have to be this way, they were not ordered to go to Afghanistan together, but Frances Johnson volunteered since she had not yet deployed during the six years she has been enlisted."
H00211,human,male,"""At a banal level, it's a little bit of color in our lives is gone,"" he said."
H00272,human,male,He was also guilty of biting during his time in the Netherlands with Ajax where he was banned for seven games after leaving a scar on the collarbone of Otman Bakkal.
H00105,human,female,She was ranked second in the U.S and fourth in the world entering the competition.
H00166,human,female,"‘Ever wanted to draw a Disney-style chick, but she ended up looking like a deformed Paris Hilton bobblehead?’"
H00265,human,male,'He . is one of the lucky ones.
H00314,human,male,"So if your child comes home in the leadup to Columbus Day, like mine did, full of praise for the explorer's bravery and vision, that's a fine place to start, even if he didn't really ""discover"" the Americas or figure out that the Earth was round."
H00344,human,male,"Weddle's close friend, artist and designer Rick Elden, remembers that day well because he had brought his 4-month-old son to the pool for Weddle to shoot."
H00231,human,male,"But then, he catches himself -- and corrects himself."
H00213,human,male,"Wafer, whose lawyer said he shot the victim in self-defense, was charged with second-degree murder last month after days of pressure from McBride's relatives seeking an arrest."
H00089,human,female,'Senseless': Prosecutor Jean Baker said there is no clear motive for the attack as she announced the charges .
H00324,human,male,"He . burned through a slate of seven high-powered attorneys, including ."
H00178,human,female,Left: Jamaliah (left) said she recognised her daughter immediately from her 'characteristic' facial features
H00090,human,female,so she decided to quit the beds.
H00091,human,female,And she is subversively sexy without trying.
H00255,human,male,"And yet, just four years later, he produced a series of papers that turned the world of science on its head."
H00226,human,male,"Florida teenager Andrew Anderson, 19, was arrested on Tuesday by Collier County police for giving away discounts to customers he believed were in need at an East Naples store."
H00228,human,male,"""I think now it's only a question of time,"" NATO Secretary-General Anders Fogh Rasmussen said in Brussels, Belgium, where he and Dutch Prime Minister Mark Rutte announced the deployment of two Patriot air-defense batteries to Turkey's border with Syria."
H00067,human,female,"She sold the airplane and fired the chef,"" McCain said, referring to Palin's efforts to put her predecessor's state jet up for auction on eBay and her dismissal of the governor's personal chef."
H00047,human,female,"Naturally, she would know who should win."
H00312,human,male,"Although Sellu knew his patient had a perforated bowel, he failed to operate for 40 hours, the jury was told."
H00073,human,female,She has no official link with the organisation but it is hoped that she might forge one in future.
H00086,human,female,But despite the efforts of paramedics she was pronounced dead upon her arrival at Birmingham Children's Hospital.
H00218,human,male,A burglar coming down off amphetamine was caught after having sex with a teddy bear at the property he broke into.
H00220,human,male,Mr Crossan said: ‘There was no indication in the game that he was being charged for any of the clicks made within it.
H00054,human,female,"She said police told her they have ""enough evidence to convict somebody."""
H00027,human,female,"Though Ms Montenegro said she had no 'horror stories' to tell about her time as an escort, she desperately tried to turn her back on the industry."
H00263,human,male,"'Ukip believes in seeking new ideas to ensure the NHS provides the highest quality of care,' he added."
H00223,human,male,He explained why by describing the last video he watched from Syria.
H00209,human,male,"He referred to the bipartisan bill that passed the Senate, but has little hope of being brought up in the Republican-controlled House, saying, ""A year and a half ago, the Senate passed a bipartisan bill to fix this system."""
